End Date,Source,Lat,Lon,Title,Location,Plan,Details,Date Reported,Link,Ongoing Public Health Situation,State Regulations,Testing Availibility/Turnaround,Transmission on College,Student Health/Safety,Other,Reversal Count,ZIP,FIPS,Classes Start Date,Days until Shift,Cases on Flip,Clusters on Flip,,,,
11/18/2020,[Source](https://blogs.mtu.edu/flex/2020/09/27/michigan-tech-to-shift-to-health-and-safety-level-four/),47.11866,-88.548092,Michigan Technological University,"Houghton, MI",Suspended in-person instruction,"two weeks, starting sept 30",9/27/2020,https://blogs.mtu.edu/flex/2020/09/27/michigan-tech-to-shift-to-health-and-safety-level-four/,,,,,,,1,,,,,,,,,,
11/18/2020,[Source](https://news.campbell.edu/articles/campbell-university-to-pause-on-campus-undergraduate-classes-for-two-weeks/),35.409149,-78.738238,Campbell University,"Buies Creek, NC",Suspended in-person instruction,2 weeks,9/25/2020,https://news.campbell.edu/articles/campbell-university-to-pause-on-campus-undergraduate-classes-for-two-weeks/,,,,,,,1,,,,,,,,,,
10/7/2020,[Source](https://www.elmira.edu/news/stories/17212-elmira-college-makes-temporary-move-to-online),42.0961,-76.813459,Elmira College,"Elmira, NY",Suspended in-person instruction,2 weeks,9/25/2020,https://www.elmira.edu/news/stories/17212-elmira-college-makes-temporary-move-to-online,,,,,,,2,,,,,,,,,,
11/18/2020,[Source](https://www.olivetcollege.edu/olivet-college-cares-from-the-president-temporary-shift-to-remote-instruction-effective-monday-sept-28/),42.442891,-84.923891,Olivet College,"Olivet, MI",Suspended in-person instruction,2 weeks,9/25/2020,https://www.olivetcollege.edu/olivet-college-cares-from-the-president-temporary-shift-to-remote-instruction-effective-monday-sept-28/,,,,Yes,,,1,,,,,,,,,,
11/18/2020,[Source](https://covid-19.providence.edu/2020/09/25/remote-classes-and-stay-at-home-directive-extended-to-oct-3/),41.842742,-71.437446,Providence College,"Providence, RI",Extended suspension of in-person instruction,Until October 3,9/25/2020,https://covid-19.providence.edu/2020/09/25/remote-classes-and-stay-at-home-directive-extended-to-oct-3/,,,,,,,3,,,,,,,,,,
11/18/2020,[Source](https://www.colorado.edu/chancellor/newsletter/chancellor/new-county-public-health-order-begins-4-pm-today),40.008781,-105.27082,University of Colorado Boulder,"Boulder, CO",Mandatory all-campus quarantine,Starting Sept. 24,9/24/2020,https://www.colorado.edu/chancellor/newsletter/chancellor/new-county-public-health-order-begins-4-pm-today,,,,,,,3,,,,,,,,,,
11/18/2020,[Source](https://smartrestart.wisc.edu/campus-to-resume-some-in-person-activities-maintain-strict-health-measures/),43.075409,-89.404098,University of Wisconsin-Madison,"Madison, WI",Resumed in-person instruction,Starting Sept. 26,9/23/2020,https://smartrestart.wisc.edu/campus-to-resume-some-in-person-activities-maintain-strict-health-measures/,,,,,,,2,,,,,,,,,,
9/24/2020,[Source](https://www.colorado.edu/chancellor/newsletter/chancellor/shifting-temporarily-remote-instruction-minimum-2-weeks),40.008781,-105.27082,University of Colorado Boulder,"Boulder, CO",Suspended in-person instruction,Starting Sept. 23,9/21/2020,https://www.colorado.edu/chancellor/newsletter/chancellor/shifting-temporarily-remote-instruction-minimum-2-weeks,,,,,,,3,,,,,,,,,,
10/2/2020,[Source](https://www.oswego.edu/safety-on-campus/message-from-the-president/suny-oswego-enter-temporary-pause-person-learning),43.454287,-76.540798,SUNY College at Oswego,"Oswego, NY",Suspended in-person instruction,2 weeks,9/18/2020,https://www.oswego.edu/safety-on-campus/message-from-the-president/suny-oswego-enter-temporary-pause-person-learning,,,,Yes,,,2,,,,,,,,,,
11/18/2020,[Source](https://www.uwrf.edu/News/UWRiverFallstemporarilyshiftstoremotelearningimplementsshelterinplaceforitscampushousing.cfm),44.8534,-92.622641,University of Wisconsin-River Falls,"River Falls, WI",Suspended in-person instruction,Sept. 18 - 2 weeks,9/18/2020,https://www.uwrf.edu/News/UWRiverFallstemporarilyshiftstoremotelearningimplementsshelterinplaceforitscampushousing.cfm,,,,,,,1,,,,,,,,,,
