,School,Plan,Type,Date,Reversal Count,Location
137,University of Notre Dame,Suspended in-person instruction,closing,2020-08-18,2,"South Bend, IN"
138,Ithaca College,All remote instruction,closing,2020-08-18,1,"Ithaca, NY"
139,University of Pittsburgh,Delayed in-person start,closing,2020-08-19,1,"Pittsburgh, PA"
140,Drexel University,All remote instruction,closing,2020-08-19,1,"Philadelphia, PA"
141,Rowan University,Expanded in-person instruction,opening,2020-08-20,2,"Glassboro, NJ"
142,North Carolina State University,Shift to remote instruction,closing,2020-08-20,1,"Raleigh, NC"
143,La Salle University,Most courses online,closing,2020-08-20,1,"Philadelphia, PA"
144,University of Minnesota Twin Cities,Delayed in-person start,closing,2020-08-21,1,"Minneapolis, MN"
145,"University of California, Los Angeles",Most courses online,closing,2020-08-21,1,"Los Angeles, CA"
146,Western Connecticut State University,Delayed in-person start,closing,2020-08-22,1,"Danbury, CT"
147,East Carolina University,Shift to remote instruction,closing,2020-08-23,1,"Greenville, NC"
148,Butler University,Delayed in-person start,closing,2020-08-23,1,"Indianapolis, IN"
149,University of Dayton,Delayed in-person start,closing,2020-08-23,3,"Dayton, OH"
150,University of North Carolina at Charlotte,Delayed in-person start,closing,2020-08-23,1,"Charlotte, NC"
151,Eastern Michigan University,Delayed in-person start,closing,2020-08-24,1,"Ypsilanti, MI"
152,Virginia State University,All remote instruction,closing,2020-08-24,1,"Petersburg, VA"
153,West Virginia Wesleyan College,All remote instruction,closing,2020-08-26,1,"Buckhannon, WV"
154,Western Oregon University,Most courses online,closing,2020-08-26,1,"Monmouth, OR"
155,Towson University,All remote instruction,closing,2020-08-26,1,"Baltimore, MD"
156,University of Oregon,Most courses online,closing,2020-08-27,1,"Eugene, OR"
157,Kalamazoo College,All remote instruction,closing,2020-08-27,1,"Kalamazoo, MI"
158,Bloomsburg University of Pennsylvania,All remote instruction,closing,2020-08-27,1,"Bloomsburg, PA"
159,University of Dayton,Delayed in-person start,closing,2020-08-27,3,"Dayton, OH"
160,University of Notre Dame,Resumed in-person instruction,opening,2020-08-28,2,"South Bend, IN"
161,Northwestern University,Fewer students on campus,closing,2020-08-28,1,"Evanston, IL"
162,"University of California, Santa Barbara",Shift to remote instruction,closing,2020-08-28,1,"Santa Barbara, CA"
163,SUNY Oneonta,Suspended in-person instruction,closing,2020-08-30,2,"Oneonta, NY"
164,Temple University,Suspended in-person instruction,closing,2020-08-30,2,"Philadelphia, PA"
165,"California State University, Chico",All remote instruction,closing,2020-08-30,1,"Chico, CA"
166,Gettysburg College,Suspended in-person instruction,closing,2020-09-01,2,"Gettysburg, PA"
